value_a_code,value_b_code,domain_b_code,case
CHL,CHL,CID,domain_a
CHL,39,CRS,domain_a
CHL,Chile,UNHCR,domain_a
CHN,China,AC2,domain_a
CHN,CHN,CID,domain_a
CHN,XCA,CID,domain_a
CHN,40,CRS,domain_a
CHN,China,UNHCR,domain_a
CIV,Ivory Coast,AC2,domain_a
CIV,CIV,CID,domain_a
CIV,46,CRS,domain_a
CIV,Cote dIvoire,UNHCR,domain_a
CMR,Cameroon,AC2,domain_a
CMR,CMR,CID,domain_a
CMR,33,CRS,domain_a
CMR,Cameroon,UNHCR,domain_a
COD,"Congo, The Dem Rep Of The",AC2,domain_a
COD,COD,CID,domain_a
COD,ZAR,CID,domain_a
COD,Democratic Republic of the Congo,UNHCR,domain_a
COG,Congo,AC2,domain_a
COG,COG,CID,domain_a
COG,XCB,CID,domain_a
COG,188,CRS,domain_a
COG,225,CRS,domain_a
COG,44,CRS,domain_a
COG,"Congo, Republic of the",UNHCR,domain_a
COK,Cook Islands,AC2,domain_a
COK,COK,CID,domain_a
COK,Cook Islands,UNHCR,domain_a
COL,Colombia,AC2,domain_a
COL,COL,CID,domain_a
COL,42,CRS,domain_a
COL,Colombia,UNHCR,domain_a
COM,Comoros,AC2,domain_a
COM,COM,CID,domain_a
COM,43,CRS,domain_a
COM,Comoros,UNHCR,domain_a
CPV,Cape Verde,AC2,domain_a
CPV,CPV,CID,domain_a
CPV,35,CRS,domain_a
CPV,Cape Verde,UNHCR,domain_a
CRI,Costa Rica,AC2,domain_a
CRI,CRI,CID,domain_a
CRI,45,CRS,domain_a
CRI,Costa Rica,UNHCR,domain_a
CTE,Kiribati,AC2,domain_a
CTE,CTE,CID,domain_a
CUB,Cuba,AC2,domain_a
CUB,CUB,CID,domain_a
CUB,48,CRS,domain_a
CUB,Cuba,UNHCR,domain_a
CUW,Netherlands Antilles,AC2,domain_a
CUW,CUW,CID,domain_a
CUW,301,CRS,domain_a
CUW,Curacao,UNHCR,domain_a
CXR,Christmas Island,AC2,domain_a
CXR,CXR,CID,domain_a
CXR,Christmas Island,UNHCR,domain_a
CYM,Cayman Islands,AC2,domain_a
CYM,CYM,CID,domain_a
CYM,36,CRS,domain_a
CYM,Cayman Islands,UNHCR,domain_a
CYP,Cyprus,AC2,domain_a
CYP,CYP,CID,domain_a
CYP,234,CRS,domain_a
CYP,49,CRS,domain_a
CYP,Cyprus,UNHCR,domain_a
CZE,Czech Republic,AC2,domain_a
CZE,CZE,CID,domain_a
CZE,50,CRS,domain_a
CZE,55,CRS,domain_a
CZE,Czech Republic,UNHCR,domain_a
DEU,Germany,AC2,domain_a
DEU,DEU,CID,domain_a
DEU,XGR,CID,domain_a
DEU,204,CRS,domain_a
DEU,Germany,UNHCR,domain_a
DHY,Benin,AC2,domain_a
DHY,DHY,CID,domain_a
DJI,Djibouti,AC2,domain_a
DJI,DJI,CID,domain_a
DJI,52,CRS,domain_a
DJI,Djibouti,UNHCR,domain_a
DMA,Dominica,AC2,domain_a
DMA,DMA,CID,domain_a
DMA,53,CRS,domain_a
DMA,Dominica,UNHCR,domain_a
DNK,Denmark,AC2,domain_a
DNK,DNK,CID,domain_a
DNK,51,CRS,domain_a
DNK,Denmark,UNHCR,domain_a
DOM,Dominican Republic,AC2,domain_a
DOM,DOM,CID,domain_a
DOM,54,CRS,domain_a
DOM,Dominican Republic,UNHCR,domain_a
DZA,Algeria,AC2,domain_a
DZA,DZA,CID,domain_a
DZA,3,CRS,domain_a
DZA,Algeria,UNHCR,domain_a
ECU,Ecuador,AC2,domain_a
ECU,ECU,CID,domain_a
ECU,56,CRS,domain_a
ECU,Ecuador,UNHCR,domain_a
EGY,Egypt,AC2,domain_a
EGY,EGY,CID,domain_a
EGY,57,CRS,domain_a
EGY,Egypt,UNHCR,domain_a
ERI,Eritrea,AC2,domain_a
ERI,ERI,CID,domain_a
ERI,191,CRS,domain_a
ERI,Eritrea,UNHCR,domain_a
ESH,Western Sahara,AC2,domain_a
ESH,ESH,CID,domain_a
ESH,226,CRS,domain_a
ESH,303,CRS,domain_a
ESH,Western Sahara,UNHCR,domain_a
ESP,Spain,AC2,domain_a
ESP,ESP,CID,domain_a
ESP,202,CRS,domain_a
ESP,Spain,UNHCR,domain_a
EST,Estonia,AC2,domain_a
EST,EST,CID,domain_a
EST,60,CRS,domain_a
EST,Estonia,UNHCR,domain_a
ETH,Ethiopia,AC2,domain_a
ETH,ETH,CID,domain_a
ETH,61,CRS,domain_a
ETH,Ethiopia,UNHCR,domain_a
FIN,Finland,AC2,domain_a
FIN,FIN,CID,domain_a
FIN,213,CRS,domain_a
FIN,Finland,UNHCR,domain_a
FJI,Fiji,AC2,domain_a
FJI,FJI,CID,domain_a
FJI,62,CRS,domain_a
FJI,Fiji,UNHCR,domain_a
FLK,Falkland Islands,AC2,domain_a
FLK,FLK,CID,domain_a
FLK,306,CRS,domain_a
FLK,Falkland Islands (Malvinas),UNHCR,domain_a
FRA,France,AC2,domain_a
FRA,FRA,CID,domain_a
FRA,63,CRS,domain_a
FRA,France,UNHCR,domain_a
FRO,Faroe Islands,AC2,domain_a
FRO,FRO,CID,domain_a
FRO,302,CRS,domain_a
FRO,Faroe Islands,UNHCR,domain_a
FRY,FRY,CID,domain_a
FSM,Micronesia,AC2,domain_a
FSM,FSM,CID,domain_a
FSM,220,CRS,domain_a
FSM,"Micronesia, Federated States of",UNHCR,domain_a
FXX,France,AC2,domain_a
FXX,FXX,CID,domain_a
GAB,Gabon,AC2,domain_a
GAB,GAB,CID,domain_a
GAB,64,CRS,domain_a
GAB,Gabon,UNHCR,domain_a
GBR,United Kingdom,AC2,domain_a
GBR,GBR,CID,domain_a
GBR,XGB,CID,domain_a
GBR,240,CRS,domain_a
GBR,United Kingdom of Great Britain and North. Ireland,UNHCR,domain_a
GEO,Georgia,AC2,domain_a
GEO,GEO,CID,domain_a
GEO,66,CRS,domain_a
GEO,Georgia,UNHCR,domain_a
GGY,Channel Islands,AC2,domain_a
GGY,GGY,CID,domain_a
GHA,Ghana,AC2,domain_a
GHA,GHA,CID,domain_a
GHA,67,CRS,domain_a
GHA,Ghana,UNHCR,domain_a
GIB,Gibraltar,AC2,domain_a
GIB,GIB,CID,domain_a
GIB,68,CRS,domain_a
GIB,Gibraltar,UNHCR,domain_a
GIN,Guinea,AC2,domain_a
GIN,GIN,CID,domain_a
GIN,73,CRS,domain_a
GIN,Guinea,UNHCR,domain_a
GLP,Guadeloupe,AC2,domain_a
GLP,GLP,CID,domain_a
GMB,Gambia,AC2,domain_a
GMB,GMB,CID,domain_a
GMB,65,CRS,domain_a
GMB,Gambia,UNHCR,domain_a
GNB,Guinea-Bissau,AC2,domain_a
GNB,GNB,CID,domain_a
GNB,74,CRS,domain_a
GNB,Guinea-Bissau,UNHCR,domain_a
GNQ,Equatorial Guinea,AC2,domain_a
GNQ,GNQ,CID,domain_a
GNQ,59,CRS,domain_a
GNQ,Equatorial Guinea,UNHCR,domain_a
GRC,Greece,AC2,domain_a
GRC,GRC,CID,domain_a
GRC,214,CRS,domain_a
GRC,239,CRS,domain_a
GRC,Greece,UNHCR,domain_a
GRD,Grenada,AC2,domain_a
GRD,GRD,CID,domain_a
GRD,70,CRS,domain_a
GRD,Grenada,UNHCR,domain_a
GRL,Greenland,AC2,domain_a
GRL,GRL,CID,domain_a
GRL,69,CRS,domain_a
GRL,Greenland,UNHCR,domain_a
GTM,Guatemala,AC2,domain_a
GTM,GTM,CID,domain_a
GTM,72,CRS,domain_a
GTM,Guatemala,UNHCR,domain_a
GUF,French Guiana,AC2,domain_a
GUF,GUF,CID,domain_a
GUF,307,CRS,domain_a
GUF,French Guiana,UNHCR,domain_a
GUM,Guam,AC2,domain_a
GUM,GUM,CID,domain_a
GUM,Guam,UNHCR,domain_a
GUY,Guyana,AC2,domain_a
GUY,GUY,CID,domain_a
GUY,71,CRS,domain_a
GUY,Guyana,UNHCR,domain_a
HKG,Hong Kong,AC2,domain_a
HKG,HKG,CID,domain_a
HKG,78,CRS,domain_a
HKG,"Hong Kong, (SAR, China)",UNHCR,domain_a
HMD,Heard Isl & Mcdonald Isl,AC2,domain_a
HMD,HMD,CID,domain_a
HMD,Heard Island & Mcdonald Island,UNHCR,domain_a
HND,Honduras,AC2,domain_a
HND,HND,CID,domain_a
HND,77,CRS,domain_a
HND,Honduras,UNHCR,domain_a
HRV,Croatia,AC2,domain_a
HRV,HRV,CID,domain_a
HRV,47,CRS,domain_a
HRV,Croatia,UNHCR,domain_a
HTI,Haiti,AC2,domain_a
HTI,HTI,CID,domain_a
HTI,75,CRS,domain_a
HTI,Haiti,UNHCR,domain_a
HUN,Hungary,AC2,domain_a
HUN,HUN,CID,domain_a
HUN,80,CRS,domain_a
HUN,Hungary,UNHCR,domain_a
IDN,Indonesia,AC2,domain_a
IDN,IDN,CID,domain_a
IDN,82,CRS,domain_a
IDN,Indonesia,UNHCR,domain_a
IMN,Isle Of Man,AC2,domain_a
IMN,IMN,CID,domain_a
IND,India,AC2,domain_a
IND,IND,CID,domain_a
IND,81,CRS,domain_a
IND,India,UNHCR,domain_a
IOT,British Indian Ocean Territory,AC2,domain_a
IOT,IOT,CID,domain_a
IOT,British Indian Ocean Territory,UNHCR,domain_a
IRL,Ireland,AC2,domain_a
IRL,IRL,CID,domain_a
IRL,XIR,CID,domain_a
IRL,209,CRS,domain_a
IRL,Ireland,UNHCR,domain_a
IRN,Iran,AC2,domain_a
IRN,IRN,CID,domain_a
IRN,83,CRS,domain_a
IRN,"Iran, Islamic Republic of",UNHCR,domain_a
IRQ,Iraq,AC2,domain_a
IRQ,IRQ,CID,domain_a
IRQ,84,CRS,domain_a
IRQ,Iraq,UNHCR,domain_a
ISL,Iceland,AC2,domain_a
ISL,ISL,CID,domain_a
ISL,208,CRS,domain_a
ISL,Iceland,UNHCR,domain_a
ISR,Israel,AC2,domain_a
ISR,ISR,CID,domain_a
ISR,85,CRS,domain_a
ISR,Israel,UNHCR,domain_a
ITA,Italy,AC2,domain_a
ITA,ITA,CID,domain_a
ITA,207,CRS,domain_a
ITA,Italy,UNHCR,domain_a
JAM,Jamaica,AC2,domain_a
JAM,JAM,CID,domain_a
JAM,86,CRS,domain_a
JAM,Jamaica,UNHCR,domain_a
JEY,Channel Islands,AC2,domain_a
JEY,JEY,CID,domain_a
JOR,Jordan,AC2,domain_a
JOR,JOR,CID,domain_a
JOR,88,CRS,domain_a
JOR,Jordan,UNHCR,domain_a
JPN,Japan,AC2,domain_a
JPN,JPN,CID,domain_a
JPN,87,CRS,domain_a
JPN,Japan,UNHCR,domain_a
JTN,USA Minor Outlying Islands,AC2,domain_a
JTN,JTN,CID,domain_a
KAZ,Kazakhstan,AC2,domain_a
KAZ,KAZ,CID,domain_a
KAZ,89,CRS,domain_a
KAZ,Kazakhstan,UNHCR,domain_a
KEN,Kenya,AC2,domain_a
KEN,KEN,CID,domain_a
KEN,90,CRS,domain_a
KEN,Kenya,UNHCR,domain_a
KGZ,Kyrgyzstan,AC2,domain_a
KGZ,KGZ,CID,domain_a
KGZ,92,CRS,domain_a
KGZ,Kyrgyzstan,UNHCR,domain_a
KHM,Cambodia,AC2,domain_a
KHM,CAM,CID,domain_a
KHM,KHM,CID,domain_a
KHM,32,CRS,domain_a
KHM,Cambodia,UNHCR,domain_a
KIR,Kiribati,AC2,domain_a
KIR,KIR,CID,domain_a
KIR,91,CRS,domain_a
KIR,Kiribati,UNHCR,domain_a
KNA,Saint Kitts And Nevis,AC2,domain_a
KNA,KNA,CID,domain_a
KNA,145,CRS,domain_a
KNA,Saint Kitts and Nevis,UNHCR,domain_a
KOR,South Korea,AC2,domain_a
KOR,KOR,CID,domain_a
KOR,94,CRS,domain_a
KOR,Republic of Korea,UNHCR,domain_a
KOS,Kosovo,AC2,domain_a
KOS,KOS,CID,domain_a
KOS,XXK,CID,domain_a
KOS,223,CRS,domain_a
KOS,236,CRS,domain_a
KWT,Kuwait,AC2,domain_a
KWT,KWT,CID,domain_a
KWT,95,CRS,domain_a
KWT,Kuwait,UNHCR,domain_a
LAO,Laos,AC2,domain_a
LAO,LAO,CID,domain_a
LAO,96,CRS,domain_a
LAO,Lao Peoples Democratic Republic,UNHCR,domain_a
LBN,Lebanon,AC2,domain_a
LBN,LBN,CID,domain_a
LBN,98,CRS,domain_a
LBN,Lebanon,UNHCR,domain_a
LBR,Liberia,AC2,domain_a
LBR,LBR,CID,domain_a
LBR,100,CRS,domain_a
LBR,Liberia,UNHCR,domain_a
LBY,Libya,AC2,domain_a
LBY,LBY,CID,domain_a
LBY,XLB,CID,domain_a
LBY,XLR,CID,domain_a
LBY,101,CRS,domain_a
LBY,Libyan Arab Jamahiriya,UNHCR,domain_a
LCA,Saint Lucia,AC2,domain_a
LCA,LCA,CID,domain_a
LCA,146,CRS,domain_a
