value_a_code,value_b_code,domain_b_code,case
REU,"Reunion, Department of",UNHCR,domain_a
ROU,Romania,AC2,domain_a
ROU,ROM,CID,domain_a
ROU,ROU,CID,domain_a
ROU,141,CRS,domain_a
ROU,237,CRS,domain_a
ROU,Romania,UNHCR,domain_a
RUS,Russian Federation,AC2,domain_a
RUS,RUS,CID,domain_a
RUS,142,CRS,domain_a
RUS,Russian Federation,UNHCR,domain_a
RWA,Rwanda,AC2,domain_a
RWA,RWA,CID,domain_a
RWA,XRA,CID,domain_a
RWA,XRU,CID,domain_a
RWA,143,CRS,domain_a
RWA,Rwanda,UNHCR,domain_a
SAU,Saudi Arabia,AC2,domain_a
SAU,SAU,CID,domain_a
SAU,150,CRS,domain_a
SAU,Saudi Arabia,UNHCR,domain_a
SBA,Cyprus,AC2,domain_a
SBA,SBA,CID,domain_a
SCG,SCG,CID,domain_a
SCG,232,CRS,domain_a
SCG,Serbia and Montenegro,UNHCR,domain_a
SCN,Saint Kitts And Nevis,AC2,domain_a
SCN,SCN,CID,domain_a
SCN,Saint Christopher & Nevis,UNHCR,domain_a
SDN,Sudan,AC2,domain_a
SDN,SDN,CID,domain_a
SDN,161,CRS,domain_a
SDN,Sudan,UNHCR,domain_a
SEN,Senegal,AC2,domain_a
SEN,SEN,CID,domain_a
SEN,151,CRS,domain_a
SEN,Senegal,UNHCR,domain_a
SGP,Singapore,AC2,domain_a
SGP,SGP,CID,domain_a
SGP,154,CRS,domain_a
SGP,Singapore,UNHCR,domain_a
SGS,Sth Georgia & Sth Sndwch Isl,AC2,domain_a
SGS,SGS,CID,domain_a
SGS,S.Georgia & S.Sandwich Is.,UNHCR,domain_a
SHN,Saint Helena,AC2,domain_a
SHN,SHN,CID,domain_a
SHN,XSH,CID,domain_a
SHN,XTC,CID,domain_a
SHN,144,CRS,domain_a
SHN,Saint Helena,UNHCR,domain_a
SJM,Svalbard And Jan Mayen,AC2,domain_a
SJM,SJM,CID,domain_a
SJM,Svalbard and Jam Mayen,UNHCR,domain_a
SKM,India,AC2,domain_a
SKM,SKM,CID,domain_a
SKM,Sikkim,UNHCR,domain_a
SLB,Solomon Islands,AC2,domain_a
SLB,SLB,CID,domain_a
SLB,157,CRS,domain_a
SLB,Solomon Islands,UNHCR,domain_a
SLE,Sierra Leone,AC2,domain_a
SLE,SLE,CID,domain_a
SLE,153,CRS,domain_a
SLE,Sierra Leone,UNHCR,domain_a
SLV,El Salvador,AC2,domain_a
SLV,SLV,CID,domain_a
SLV,58,CRS,domain_a
SLV,El Salvador,UNHCR,domain_a
SMR,San Marino,AC2,domain_a
SMR,SMR,CID,domain_a
SMR,148,CRS,domain_a
SMR,San Marino,UNHCR,domain_a
SOM,Somalia,AC2,domain_a
SOM,SOM,CID,domain_a
SOM,158,CRS,domain_a
SOM,Somalia,UNHCR,domain_a
SPM,Saint Pierre And Miquelon,AC2,domain_a
SPM,SPM,CID,domain_a
SPM,Saint Pierre et Miquelon,UNHCR,domain_a
SRB,Serbia,AC2,domain_a
SRB,SRB,CID,domain_a
SRB,222,CRS,domain_a
SRB,Serbia,UNHCR,domain_a
SSD,South Sudan,AC2,domain_a
SSD,SSD,CID,domain_a
SSD,XSS,CID,domain_a
SSD,224,CRS,domain_a
SSD,"South Sudan, The Republic of",UNHCR,domain_a
STP,Sao Tome And Principe,AC2,domain_a
STP,STP,CID,domain_a
STP,149,CRS,domain_a
STP,Sao Tome and Principe,UNHCR,domain_a
SUN,SUN,CID,domain_a
SUN,XSU,CID,domain_a
SUN,192,CRS,domain_a
SUN,Soviet Union,UNHCR,domain_a
SUR,Suriname,AC2,domain_a
SUR,SUR,CID,domain_a
SUR,162,CRS,domain_a
SUR,Suriname,UNHCR,domain_a
SVK,Slovakia,AC2,domain_a
SVK,SVK,CID,domain_a
SVK,155,CRS,domain_a
SVK,Slovakia,UNHCR,domain_a
SVN,Slovenia,AC2,domain_a
SVN,SVN,CID,domain_a
SVN,156,CRS,domain_a
SVN,Slovenia,UNHCR,domain_a
SWE,Sweden,AC2,domain_a
SWE,SWE,CID,domain_a
SWE,206,CRS,domain_a
SWE,Sweden,UNHCR,domain_a
SWZ,Swaziland,AC2,domain_a
SWZ,SWZ,CID,domain_a
SWZ,163,CRS,domain_a
SWZ,Swaziland,UNHCR,domain_a
SXM,Unspec Caribbean Country,AC2,domain_a
SXM,SXM,CID,domain_a
SXM,Saint Maarten (NET),UNHCR,domain_a
SYC,Seychelles,AC2,domain_a
SYC,SYC,CID,domain_a
SYC,152,CRS,domain_a
SYC,Seychelles,UNHCR,domain_a
SYR,Syria,AC2,domain_a
SYR,SYR,CID,domain_a
SYR,165,CRS,domain_a
SYR,Syrian Arab Republic,UNHCR,domain_a
TCA,Turks And Caicos Islands,AC2,domain_a
TCA,TCA,CID,domain_a
TCA,175,CRS,domain_a
TCA,Turks and Caicos Islands,UNHCR,domain_a
TCD,Chad,AC2,domain_a
TCD,TCD,CID,domain_a
TCD,38,CRS,domain_a
TCD,Chad,UNHCR,domain_a
TGO,Togo,AC2,domain_a
TGO,TGO,CID,domain_a
TGO,169,CRS,domain_a
TGO,Togo,UNHCR,domain_a
THA,Thailand,AC2,domain_a
THA,THA,CID,domain_a
THA,168,CRS,domain_a
THA,Thailand,UNHCR,domain_a
TJK,Tajikistan,AC2,domain_a
TJK,TJK,CID,domain_a
TJK,166,CRS,domain_a
TJK,238,CRS,domain_a
TJK,Tajikistan,UNHCR,domain_a
TKL,Tokelau,AC2,domain_a
TKL,TKL,CID,domain_a
TKL,Tokelau,UNHCR,domain_a
TKM,Turkmenistan,AC2,domain_a
TKM,TKM,CID,domain_a
TKM,173,CRS,domain_a
TKM,Turkmenistan,UNHCR,domain_a
TLS,East Timor,AC2,domain_a
TLS,TLS,CID,domain_a
TLS,TMP,CID,domain_a
TLS,216,CRS,domain_a
TLS,Timor-Leste,UNHCR,domain_a
TON,Tonga,AC2,domain_a
TON,TON,CID,domain_a
TON,170,CRS,domain_a
TON,Tonga,UNHCR,domain_a
TTO,Trinidad And Tobago,AC2,domain_a
TTO,TTO,CID,domain_a
TTO,171,CRS,domain_a
TTO,Trinidad and Tobago,UNHCR,domain_a
TUN,Tunisia,AC2,domain_a
TUN,TUN,CID,domain_a
TUN,172,CRS,domain_a
TUN,Tunisia,UNHCR,domain_a
TUR,Turkey,AC2,domain_a
TUR,TUR,CID,domain_a
TUR,174,CRS,domain_a
TUR,Turkey,UNHCR,domain_a
TUV,Tuvalu,AC2,domain_a
TUV,TUV,CID,domain_a
TUV,176,CRS,domain_a
TUV,Tuvalu,UNHCR,domain_a
TWN,Taiwan,AC2,domain_a
TWN,TWN,CID,domain_a
TWN,41,CRS,domain_a
TWN,"Taiwan, Province of China",UNHCR,domain_a
TZA,Tanzania,AC2,domain_a
TZA,TZA,CID,domain_a
TZA,167,CRS,domain_a
TZA,United Republic of Tanzania,UNHCR,domain_a
UGA,Uganda,AC2,domain_a
UGA,UGA,CID,domain_a
UGA,177,CRS,domain_a
UGA,Uganda,UNHCR,domain_a
UKR,Ukraine,AC2,domain_a
UKR,UKR,CID,domain_a
UKR,178,CRS,domain_a
UKR,Ukraine,UNHCR,domain_a
UMI,USA Minor Outlying Islands,AC2,domain_a
UMI,UMI,CID,domain_a
UMI,US Minor Outlying Islands,UNHCR,domain_a
UNA,UNA,CID,domain_a
UNA,233,CRS,domain_a
UNK,Kosovo,AC2,domain_a
UNK,UNK,CID,domain_a
UNO,UNO,CID,domain_a
UNO,180,CRS,domain_a
URY,Uruguay,AC2,domain_a
URY,URY,CID,domain_a
URY,181,CRS,domain_a
URY,Uruguay,UNHCR,domain_a
USA,United States,AC2,domain_a
USA,USA,CID,domain_a
USA,4,CRS,domain_a
USA,United States of America,UNHCR,domain_a
UZB,Uzbekistan,AC2,domain_a
UZB,UZB,CID,domain_a
UZB,182,CRS,domain_a
UZB,Uzbekistan,UNHCR,domain_a
VAT,Vatican City,AC2,domain_a
VAT,VAT,CID,domain_a
VAT,76,CRS,domain_a
VAT,The Holy See,UNHCR,domain_a
VCT,St. Vincent & The Grenadines,AC2,domain_a
VCT,VCT,CID,domain_a
VCT,147,CRS,domain_a
VCT,Saint Vincent and the Grenadines,UNHCR,domain_a
VDR,Vietnam,AC2,domain_a
VDR,VDR,CID,domain_a
VEN,Venezuela,AC2,domain_a
VEN,VEN,CID,domain_a
VEN,183,CRS,domain_a
VEN,Venezuela,UNHCR,domain_a
VGB,Virgin Islands (British),AC2,domain_a
VGB,VGB,CID,domain_a
VGB,185,CRS,domain_a
VGB,Virgin Islands (British),UNHCR,domain_a
VIR,Virgin Islands (U.S.),AC2,domain_a
VIR,VIR,CID,domain_a
VIR,Virgin Islands (U.S.),UNHCR,domain_a
VNM,Vietnam,AC2,domain_a
VNM,VNM,CID,domain_a
VNM,184,CRS,domain_a
VNM,Viet Nam,UNHCR,domain_a
VUT,Vanuatu,AC2,domain_a
VUT,VUT,CID,domain_a
VUT,125,CRS,domain_a
VUT,Vanuatu,UNHCR,domain_a
WAK,USA Minor Outlying Islands,AC2,domain_a
WAK,WAK,CID,domain_a
WLF,Wallis And Futuna,AC2,domain_a
WLF,WLF,CID,domain_a
WLF,Wallis and Futuna Islands,UNHCR,domain_a
WSM,Samoa,AC2,domain_a
WSM,WSM,CID,domain_a
WSM,186,CRS,domain_a
WSM,Samoa,UNHCR,domain_a
XAD,Yemen,AC2,domain_a
XAD,XAD,CID,domain_a
XBD,GBN,CID,domain_a
XBD,XBC,CID,domain_a
XBD,XBD,CID,domain_a
XBD,XBN,CID,domain_a
XBD,XBO,CID,domain_a
XBD,XBP,CID,domain_a
XBD,XBS,CID,domain_a
XBE,Botswana,AC2,domain_a
XBE,XBE,CID,domain_a
XBG,Guyana,AC2,domain_a
XBG,XBG,CID,domain_a
XBH,Honduras,AC2,domain_a
XBH,XBH,CID,domain_a
XBU,Burma,AC2,domain_a
XBU,XBU,CID,domain_a
XBY,Belarus,AC2,domain_a
XBY,XBY,CID,domain_a
XCE,Sri Lanka,AC2,domain_a
XCE,XCE,CID,domain_a
XCH,India,AC2,domain_a
XCH,XCH,CID,domain_a
XCS,XCS,CID,domain_a
XDA,India,AC2,domain_a
XDA,XDA,CID,domain_a
XDE,Germany,AC2,domain_a
XDE,XDE,CID,domain_a
XDG,Suriname,AC2,domain_a
XDG,XDG,CID,domain_a
XDR,Germany,AC2,domain_a
XDR,XDR,CID,domain_a
XEA,XEA,CID,domain_a
XED,Indonesia,AC2,domain_a
XED,XED,CID,domain_a
XEI,Indonesia,AC2,domain_a
XEI,XEI,CID,domain_a
XEP,Bangladesh,AC2,domain_a
XEP,XEP,CID,domain_a
XFG,Guinea,AC2,domain_a
XFG,XFG,CID,domain_a
XGD,Germany,AC2,domain_a
XGD,XGD,CID,domain_a
XGE,XGE,CID,domain_a
XGH,XGH,CID,domain_a
XGL,Kiribati,AC2,domain_a
XGL,XGL,CID,domain_a
XGO,India,AC2,domain_a
XGO,XGO,CID,domain_a
XHB,Vanuatu,AC2,domain_a
XHB,XHB,CID,domain_a
XIC,XIC,CID,domain_a
XKR,XKR,CID,domain_a
XKW,Kuwait,AC2,domain_a
XKW,XKW,CID,domain_a
XML,Madagascar,AC2,domain_a
XML,XML,CID,domain_a
XMY,Malaysia,AC2,domain_a
XMY,XMY,CID,domain_a
XNB,Malaysia,AC2,domain_a
XNB,XNB,CID,domain_a
XNR,Zambia,AC2,domain_a
XNR,XNR,CID,domain_a
XNW,Canada,AC2,domain_a
XNW,XNW,CID,domain_a
XNY,Malawi,AC2,domain_a
XNY,XNY,CID,domain_a
XPA,Mozambique,AC2,domain_a
XPA,XPA,CID,domain_a
XPE,XPE,CID,domain_a
XPG,Guinea-Bissau,AC2,domain_a
XPG,XPG,CID,domain_a
XRH,Zimbabwe,AC2,domain_a
XRH,XRH,CID,domain_a
XRN,XRN,CID,domain_a
XRS,Zimbabwe,AC2,domain_a
XRS,XRS,CID,domain_a
XSK,Saint Kitts And Nevis,AC2,domain_a
XSK,XSK,CID,domain_a
XSM,Thailand ,AC2,domain_a
XSM,XSM,CID,domain_a
XSR,Sudan,AC2,domain_a
XSR,XSR,CID,domain_a
XSV,Vietnam,AC2,domain_a
XSV,XSV,CID,domain_a
XSW,Namibia,AC2,domain_a
XSW,XSW,CID,domain_a
XSY,Yemen,AC2,domain_a
XSY,XSY,CID,domain_a
XSY,XYM,CID,domain_a
XTB,China,AC2,domain_a
XTB,XTB,CID,domain_a
XTB,"Tibet (SAR, China)",UNHCR,domain_a
XTS,United Arab Emirates,AC2,domain_a
XTS,XTS,CID,domain_a
XTW,Taiwan,AC2,domain_a
XTW,XTW,CID,domain_a
XTZ,Tanzania,AC2,domain_a
XTZ,XTZ,CID,domain_a
XUR,XUR,CID,domain_a
XUS,XUS,CID,domain_a
XVO,Burkina Faso,AC2,domain_a
XVO,XVO,CID,domain_a
XXA,XSL,CID,domain_a
XXA,XXA,CID,domain_a
XXA,None/Stateless,UNHCR,domain_a
XXH,Hong Kong,AC2,domain_a
XXH,XXH,CID,domain_a
XXH,79,CRS,domain_a
XXP,XXP,CID,domain_a
XXT,Cyprus,AC2,domain_a
XXT,XXT,CID,domain_a
XXX,XXX,CID,domain_a
YEM,Yemen,AC2,domain_a
YEM,NYM,CID,domain_a
YEM,XYE,CID,domain_a
YEM,YEM,CID,domain_a
YEM,187,CRS,domain_a
YEM,Yemen,UNHCR,domain_a
YUG,YUG,CID,domain_a
YUG,117,CRS,domain_a
YUG,Yugoslavia,UNHCR,domain_a
ZAF,South Africa,AC2,domain_a
ZAF,ZAF,CID,domain_a
ZAF,159,CRS,domain_a
ZAF,South Africa,UNHCR,domain_a
ZMB,Zambia,AC2,domain_a
ZMB,ZMB,CID,domain_a
ZMB,189,CRS,domain_a
ZMB,Zambia,UNHCR,domain_a
ZWE,Zimbabwe,AC2,domain_a
ZWE,ZWE,CID,domain_a
ZWE,190,CRS,domain_a
ZWE,Zimbabwe,UNHCR,domain_a
ZZZ,DUM,CID,domain_a
ZZZ,ICWUNKNOWN,CID,domain_a
ZZZ,XBX,CID,domain_a
ZZZ,XIF,CID,domain_a
ZZZ,XPR,CID,domain_a
ZZZ,XUN,CID,domain_a
ZZZ,XXB,CID,domain_a
ZZZ,XXC,CID,domain_a
ZZZ,XXS,CID,domain_a
ZZZ,ZZZ,CID,domain_a
ZZZ,193,CRS,domain_a
ZZZ,194,CRS,domain_a
ZZZ,195,CRS,domain_a
ZZZ,196,CRS,domain_a
ZZZ,197,CRS,domain_a
ZZZ,198,CRS,domain_a
ZZZ,199,CRS,domain_a
ZZZ,200,CRS,domain_a
ZZZ,201,CRS,domain_a
ZZZ,203,CRS,domain_a
ZZZ,218,CRS,domain_a
ZZZ,219,CRS,domain_a
ZZZ,235,CRS,domain_a
ZZZ,241,CRS,domain_a
ZZZ,500,CRS,domain_a
ZZZ,Unknown,UNHCR,domain_a
